Date,Sales,Month,Day,DayOfWeek,WeekOfYear,IsWeekend,Sales_Lag_1,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Mean_7,Rolling_Mean_30
2014-02-01,0.0,2,1,5,5,1,290.666,0.0,64.864,468.9,294.1448571428572,965.1235333333333
2014-02-02,211.64600000000002,2,2,6,5,1,0.0,1097.25,378.594,2203.151,294.1448571428572,949.4935333333332
2014-02-03,202.384,2,3,0,6,0,211.64600000000002,426.67,2673.87,119.888,167.63000000000002,883.1100333333333
2014-02-04,1458.558,2,4,1,6,0,202.384,3.928,25.248,0.0,135.58914285714283,885.8599
2014-02-05,506.12,2,5,2,6,0,1458.558,0.0,0.0,5188.5199999999995,343.39342857142856,934.4784999999999
2014-02-06,738.598,2,6,3,6,0,506.12,240.5,46.019999999999996,601.024,415.6962857142857,778.3985
2014-02-07,79.56,2,7,4,6,0,738.598,290.666,0.0,228.328,486.8531428571428,782.9843
2014-02-08,886.28,2,8,5,6,1,79.56,0.0,0.0,469.43600000000004,456.6951428571428,778.0253666666666
2014-02-09,3254.15,2,9,6,6,1,886.28,211.64600000000002,1097.25,4.71,583.3065714285715,791.9201666666667
2014-02-10,598.144,2,10,0,7,0,3254.15,202.384,426.67,4732.08,1017.9499999999999,900.2348333333334
2014-02-11,2126.37,2,11,1,7,0,598.144,1458.558,3.928,5624.39,1074.4871428571428,762.4369666666666
2014-02-12,1771.808,2,12,2,7,0,2126.37,506.12,0.0,3553.795,1169.8888571428572,645.8363
2014-02-13,0.0,2,13,3,7,0,1771.808,738.598,240.5,61.96,1350.7014285714286,586.4367333333333
2014-02-14,576.726,2,14,4,7,0,0.0,79.56,290.666,149.95,1245.1874285714287,584.3714
2014-02-15,21.36,2,15,5,7,1,576.726,886.28,0.0,299.964,1316.211142857143,598.5972666666668
2014-02-16,9.04,2,16,6,7,1,21.36,3254.15,211.64600000000002,0.0,1192.6511428571428,589.3104666666666
2014-02-17,54.208,2,17,0,8,0,9.04,598.144,202.384,64.864,729.0640000000001,589.6118
